,Match No,Match Center,Date,Day,Time (IST),Stadium,City
0,4,RAJASTHAN ROYALS Vs PUNJAB KINGS,12-Apr-21,Monday,7:30 PM,Wankhede Stadium,MUMBAI
1,8,PUNJAB KINGS Vs CHENNAI SUPER KINGS,16-Apr-21,Friday,7:30 PM,Wankhede Stadium,MUMBAI
2,11,DELHI CAPITALS Vs PUNJAB KINGS,18-Apr-21,Sunday,7:30 PM,Wankhede Stadium,MUMBAI
3,14,PUNJAB KINGS Vs SUNRISERS HYDERABAD,21-Apr-21,Wednesday,3:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
4,17,PUNJAB KINGS Vs MUMBAI INDIANS,23-Apr-21,Friday,7:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
5,21,PUNJAB KINGS Vs KOLKATA KNIGHT RIDERS,26-Apr-21,Monday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
6,26,PUNJAB KINGS Vs ROYAL CHALLENGERS BANGALORE,30-May-21,Friday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
7,29,PUNJAB KINGS Vs DELHI CAPITALS,2-May-21,Sunday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
8,33,ROYAL CHALLENGERS BANGALORE Vs PUNJAB KINGS,6-May-21,Thursday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
9,37,CHENNAI SUPER KINGS Vs PUNJAB KINGS,9-May-21,Sunday,3:30 PM,M.Chinnaswamy Stadium,BANGALORE
10,42,MUMBAI INDIANS Vs PUNJAB KINGS,13-May-21,Thursday,3:30 PM,M.Chinnaswamy Stadium,BANGALORE
11,45,KOLKATA KNIGHT RIDERS Vs PUNJAB KINGS,15-May-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,BANGALORE
12,50,SUNRISERS HYDERABAD Vs PUNJAB KINGS,19-May-21,Wednesday,7:30 PM,M.Chinnaswamy Stadium,BANGALORE
,54,PUNJAB KINGS Vs RAJASTHAN ROYALS,22-May-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,BANGALORE
