,Match.No,Match Center,Date,Day,Time (IST),Stadium,City
0,2,CHENNAI SUPER KINGS Vs DELHI CAPITALS,10 April 2021,Saturday,07:30 PM,Wankhede Stadium,MUMBAI
1,8,PUNJAB KINGS Vs CHENNAI SUPER KINGS,16 April 2021,Friday,07:30 PM,Wankhede Stadium,MUMBAI
2,12,CHENNAI SUPER KINGS Vs RAJASTHAN ROYALS,19 April 2021,Monday,07:30 PM,Wankhede Stadium,MUMBAI
3,15,KOLKATA KNIGHT RIDERS Vs CHENNAI SUPER KINGS,21 April 2021,Wednesday,07:30 PM,Wankhede Stadium,MUMBAI
4,19,CHENNAI SUPER KINGS Vs ROYAL CHALLENGERS BANGALORE,25 April 2021,Sunday,03:30 PM,Wankhede Stadium,MUMBAI
5,23,CHENNAI SUPER KINGS Vs SUNRISERS HYDERABAD,28 April 2021,Wednesday,07:30 PM,Feroz Shah Kotla Stadium,DELHI
6,27,MUMBAI INDIANS Vs CHENNAI SUPER KINGS,1 May 2021,Saturday,07:30 PM,Feroz Shah Kotla Stadium,DELHI
7,32,RAJASTHAN ROYALS Vs CHENNAI SUPER KINGS,5 May 2021,Wednesday,07:30 PM,Feroz Shah Kotla Stadium,DELHI
8,34,SUNRISERS HYDERABAD Vs CHENNAI SUPER KINGS,7 May 2021,Friday,07:30 PM,Feroz Shah Kotla Stadium,DELHI
9,37,CHENNAI SUPER KINGS Vs PUNJAB KINGS,9 May 2021,Sunday,03:30 PM,M.Chinnaswamy Stadium,BANGALORE
10,41,CHENNAI SUPER KINGS Vs KOLKATA KNIGHT RIDERS,12 May 2021,Wednesday,07:30 PM,M.Chinnaswamy Stadium,BANGALORE
11,47,CHENNAI SUPER KINGS Vs MUMBAI INDIANS,16 May 2021,Sunday,07:30 PM,M.Chinnaswamy Stadium,BANGALORE
12,53,DELHI CAPITALS Vs CHENNAI SUPER KINGS,21 May 2021,Friday,07:30 PM,Eden Gardens Stadium,KOLKATA
13,56,ROYAL CHALLENGERS BANGALORE Vs CHENNAI SUPER KINGS,23 May 2021,Sunday,07:30 PM,Eden Gardens Stadium,KOLKATA
