,Match.No,Match Center,Date,Day,Time (IST),Stadium,City
0,2,CHENNAI SUPER KINGS Vs DELHI CAPITALS,10 April 2021,Saturday,07:30 PM,Wankhede Stadium,MUMBAI
1,7,RAJASTHAN ROYALS Vs DELHI CAPITALS,15 April 2021,Thursday,07:30 PM,Wankhede Stadium,MUMBAI
2,11,DELHI CAPITALS Vs PUNJAB KINGS,18 April 2021,Sunday,07:30 PM,Wankhede Stadium,MUMBAI
3,13,DELHI CAPITALS Vs MUMBAI INDIANS,20 April 2021,Tuesday,07:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
4,20,SUNRISERS HYDERABAD Vs DELHI CAPITALS,25 April 2021,Sunday,07:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
5,22,DELHI CAPITALS Vs ROYAL CHALLENGERS BANGALORE,27 April 2021,Tuesday,07:30 PM,Narendra Modi Stadium,AHMEDABAD
6,25,DELHI CAPITALS Vs KOLKATA KNIGHT RIDERS,29 April 2021,Thursday,07:30 PM,Narendra Modi Stadium,AHMEDABAD
7,29,PUNJAB KINGS Vs DELHI CAPITALS,2 May 2021,Sunday,07:30 PM,Narendra Modi Stadium,AHMEDABAD
8,35,KOLKATA KNIGHT RIDERS Vs DELHI CAPITALS,8 May 2021,Saturday,03:30 PM,Narendra Modi Stadium,AHMEDABAD
9,40,DELHI CAPITALS Vs RAJASTHAN ROYALS,11 May 2021,Tuesday,07:30 PM,Eden Gardens Stadium,KOLKATA
10,44,ROYAL CHALLENGERS BANGALORE Vs DELHI CAPITALS,14 May 2021,Friday,07:30 PM,Eden Gardens Stadium,KOLKATA
11,48,DELHI CAPITALS Vs SUNRISERS HYDERABAD,17 May 2021,Monday,07:30 PM,Eden Gardens Stadium,KOLKATA
12,53,DELHI CAPITALS Vs CHENNAI SUPER KINGS,21 May 2021,Friday,07:30 PM,Eden Gardens Stadium,KOLKATA
13,55,MUMBAI INDIANS Vs DELHI CAPITALS,23 May 2021,Sunday,03:30 PM,Eden Gardens Stadium,KOLKATA
