,4,RAJASTHAN ROYALS Vs PUNJAB KINGS,12 April 2021,Monday,07:30 PM,Wankhede Stadium
0,8,PUNJAB KINGS Vs CHENNAI SUPER KINGS,16 April 2021,Friday,07:30 PM,Wankhede Stadium
1,11,DELHI CAPITALS Vs PUNJAB KINGS,18 April 2021,Sunday,07:30 PM,Wankhede Stadium
2,14,PUNJAB KINGS Vs SUNRISERS HYDERABAD,21 April 2021,Wednesday,03:30 PM,M.A.Chidambaram Chepauk Stadium
3,17,PUNJAB KINGS Vs MUMBAI INDIANS,23 April 2021,Friday,07:30 PM,M.A.Chidambaram Chepauk Stadium
4,21,PUNJAB KINGS Vs KOLKATA KNIGHT RIDERS,26 April 2021,Monday,07:30 PM,Narendra Modi Stadium
5,26,PUNJAB KINGS Vs ROYAL CHALLENGERS BANGALORE,30 May 2021,Friday,07:30 PM,Narendra Modi Stadium
6,29,PUNJAB KINGS Vs DELHI CAPITALS,2 May 2021,Sunday,07:30 PM,Narendra Modi Stadium
7,33,ROYAL CHALLENGERS BANGALORE Vs PUNJAB KINGS,6 May 2021,Thursday,07:30 PM,Narendra Modi Stadium
8,37,CHENNAI SUPER KINGS Vs PUNJAB KINGS,9 May 2021,Sunday,03:30 PM,M.Chinnaswamy Stadium
9,42,MUMBAI INDIANS Vs PUNJAB KINGS,13 May 2021,Thursday,03:30 PM,M.Chinnaswamy Stadium
10,45,KOLKATA KNIGHT RIDERS Vs PUNJAB KINGS,15 May 2021,Saturday,07:30 PM,M.Chinnaswamy Stadium
11,50,SUNRISERS HYDERABAD Vs PUNJAB KINGS,19 May 2021,Wednesday,07:30 PM,M.Chinnaswamy Stadium
12,54,PUNJAB KINGS Vs RAJASTHAN ROYALS,22 May 2021,Saturday,07:30 PM,M.Chinnaswamy Stadium
