,Match No,Match Center,Date,Day,Time (IST),Stadium,City
0,4,RAJASTHAN ROYALS Vs PUNJAB KINGS,12-Apr-21,Monday,7:30 PM,Wankhede Stadium,MUMBAI
1,7,RAJASTHAN ROYALS Vs DELHI CAPITALS,15-Apr-21,Thursday,7:30 PM,Wankhede Stadium,MUMBAI
2,12,CHENNAI SUPER KINGS Vs RAJASTHAN ROYALS,19-Apr-21,Monday,7:30 PM,Wankhede Stadium,MUMBAI
3,16,ROYAL CHALLENGERS Vs BANGALORE RAJASTHAN ROYALS,22-Apr-21,Thursday,7:30 PM,Wankhede Stadium,MUMBAI
4,18,RAJASTHAN ROYALS Vs KOLKATA KNIGHT RIDERS,24-Apr-21,Saturday,7:30 PM,Wankhede Stadium,MUMBAI
5,24,MUMBAI INDIANS Vs RAJASTHAN ROYALS,29-Apr-21,Thursday,3:30 PM,Feroz Shah Kotla Stadium,DELHI
6,28,RAJASTHAN ROYALS Vs SUNRISERS HYDERABAD,2-May-21,Sunday,3:30 PM,Feroz Shah Kotla Stadium,DELHI
7,32,RAJASTHAN ROYALS Vs CHENNAI SUPER KINGS,5-May-21,Wednesday,7:30 PM,Feroz Shah Kotla Stadium,DELHI
8,36,RAJASTHAN ROYALS Vs MUMBAI INDIANS,8-May-21,Saturday,7:30 PM,Feroz Shah Kotla Stadium,DELHI
9,40,DELHI CAPITALS Vs RAJASTHAN ROYALS,11-May-21,Tuesday,7:30 PM,Eden Gardens Stadium,KOLKATA
10,43,SUNRIERS HYDERABAD Vs RAJASTHAN ROYALS,13-May-21,Thursday,7:30 PM,Eden Gardens Stadium,KOLKATA
11,46,RAJASTHAN ROYALS Vs ROYAL CHALLENGERS BANGALORE,16-May-21,Sunday,3:30 PM,Eden Gardens Stadium,KOLKATA
12,49,KOLKATA KNIGHT RIDERS Vs RAJASTHAN ROYALS,18-May-21,Tuesday,7:30 PM,M.Chinnaswamy Stadium,BANGALORE
13,54,PUNJAB KINGS Vs RAJASTHAN ROYALS,22-May-21,Saturday,7:30 PM,M.Chinnaswamy Stadium,BANGALORE
