,Match No,Match Center,Date,Day,Time (IST),Stadium,City
0,1,MUMBAI INDIANS Vs ROYAL CHALLENGERS BANGALORE,9-Apr-21,Friday,7:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
1,6,SUNRISERS HYDERABAD Vs ROYAL CHALLENGERS BANGALORE,14-Apr-21,Wednesday,7:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
2,10,ROYAL CHALLENGERS BANGALORE Vs KOLKATA KNIGHT RIDERS,18-Apr-21,Sunday,3:30 PM,M.A.Chidambaram Chepauk Stadium,CHENNAI
3,16,ROYAL CHALLENGERS Vs BANGALORE RAJASTHAN ROYALS,22-Apr-21,Thursday,7:30 PM,Wankhede Stadium,MUMBAI
4,19,CHENNAI SUPER KINGS Vs ROYAL CHALLENGERS BANGALORE,25-Apr-21,Sunday,3:30 PM,Wankhede Stadium,MUMBAI
5,22,DELHI CAPITALS Vs ROYAL CHALLENGERS BANGALORE,27-Apr-21,Tuesday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
6,26,PUNJAB KINGS Vs ROYAL CHALLENGERS BANGALORE,30-May-21,Friday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
7,30,KOLKATA KNIGHT RIDERS Vs ROYAL CHALLENGERS BANGALORE,3-May-21,Monday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
8,33,ROYAL CHALLENGERS BANGALORE Vs PUNJAB KINGS,6-May-21,Thursday,7:30 PM,Narendra Modi Stadium,AHMEDABAD
9,38,ROYAL CHALLENGERS BANGALORE Vs SUNRISERS HYDERABAD,9-May-21,Sunday,7:30 PM,Eden Gardens Stadium,KOLKATA
10,44,ROYAL CHALLENGERS BANGALORE Vs DELHI CAPITALS,14-May-21,Friday,7:30 PM,Eden Gardens Stadium,KOLKATA
11,46,RAJASTHAN ROYALS Vs ROYAL CHALLENGERS BANGALORE,16-May-21,Sunday,3:30 PM,Eden Gardens Stadium,KOLKATA
12,51,ROYAL CHALLENGERS BANGALORE Vs MUMBAI INDIANS,20-May-21,Thursday,7:30 PM,Eden Gardens Stadium,KOLKATA
13,56,ROYAL CHALLENGERS BANGALORE Vs CHENNAI SUPER KINGS,23-May-21,Sunday,7:30 PM,Eden Gardens Stadium,KOLKATA
